2025-05-13 14:50:19,663 - root - INFO - Starting sequential batch processing
2025-05-13 14:50:19,664 - root - INFO - Processing notch 1 of 1
2025-05-13 14:50:19,664 - root - INFO - Processing notch: Notch_01
2025-05-13 14:50:19,966 - root - INFO - Generated configuration for cycle 4 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:19,972 - root - INFO - Generated configuration for cycle 4 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:19,978 - root - INFO - Generated configuration for cycle 4 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:19,983 - root - INFO - Generated configuration for cycle 4 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:19,988 - root - INFO - Generated configuration for cycle 4 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:19,993 - root - INFO - Generated configuration for cycle 4 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:19,999 - root - INFO - Generated configuration for cycle 5 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,004 - root - INFO - Generated configuration for cycle 5 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,010 - root - INFO - Generated configuration for cycle 5 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,015 - root - INFO - Generated configuration for cycle 5 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,021 - root - INFO - Generated configuration for cycle 5 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,027 - root - INFO - Generated configuration for cycle 5 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,032 - root - INFO - Generated configuration for cycle 5 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,037 - root - INFO - Generated configuration for cycle 5 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,042 - root - INFO - Generated configuration for cycle 5 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,047 - root - INFO - Generated configuration for cycle 5 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,053 - root - INFO - Generated configuration for cycle 5 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,057 - root - INFO - Generated configuration for cycle 5 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,063 - root - INFO - Generated configuration for cycle 6 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,069 - root - INFO - Generated configuration for cycle 6 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,074 - root - INFO - Generated configuration for cycle 6 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,079 - root - INFO - Generated configuration for cycle 6 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,084 - root - INFO - Generated configuration for cycle 6 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,089 - root - INFO - Generated configuration for cycle 6 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,094 - root - INFO - Generated configuration for cycle 6 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,100 - root - INFO - Generated configuration for cycle 6 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,106 - root - INFO - Generated configuration for cycle 6 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,111 - root - INFO - Generated configuration for cycle 6 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,116 - root - INFO - Generated configuration for cycle 6 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,120 - root - INFO - Generated configuration for cycle 6 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,126 - root - INFO - Generated configuration for cycle 7 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,133 - root - INFO - Generated configuration for cycle 7 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,138 - root - INFO - Generated configuration for cycle 7 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,143 - root - INFO - Generated configuration for cycle 7 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,148 - root - INFO - Generated configuration for cycle 7 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,154 - root - INFO - Generated configuration for cycle 7 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,159 - root - INFO - Generated configuration for cycle 7 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,165 - root - INFO - Generated configuration for cycle 7 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,169 - root - INFO - Generated configuration for cycle 7 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,175 - root - INFO - Generated configuration for cycle 7 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,179 - root - INFO - Generated configuration for cycle 7 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,184 - root - INFO - Generated configuration for cycle 7 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,189 - root - INFO - Generated configuration for cycle 8 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,195 - root - INFO - Generated configuration for cycle 8 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,199 - root - INFO - Generated configuration for cycle 8 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,204 - root - INFO - Generated configuration for cycle 8 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,209 - root - INFO - Generated configuration for cycle 8 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,214 - root - INFO - Generated configuration for cycle 8 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,220 - root - INFO - Generated configuration for cycle 8 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,225 - root - INFO - Generated configuration for cycle 8 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,229 - root - INFO - Generated configuration for cycle 8 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,234 - root - INFO - Generated configuration for cycle 8 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,239 - root - INFO - Generated configuration for cycle 8 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,245 - root - INFO - Generated configuration for cycle 8 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,250 - root - INFO - Generated configuration for cycle 9 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,256 - root - INFO - Generated configuration for cycle 9 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,260 - root - INFO - Generated configuration for cycle 9 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,265 - root - INFO - Generated configuration for cycle 9 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,270 - root - INFO - Generated configuration for cycle 9 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,276 - root - INFO - Generated configuration for cycle 9 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,281 - root - INFO - Generated configuration for cycle 9 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,286 - root - INFO - Generated configuration for cycle 9 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,291 - root - INFO - Generated configuration for cycle 9 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,296 - root - INFO - Generated configuration for cycle 9 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,302 - root - INFO - Generated configuration for cycle 9 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,308 - root - INFO - Generated configuration for cycle 9 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,317 - root - INFO - Generated configuration for cycle 10 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,323 - root - INFO - Generated configuration for cycle 10 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,330 - root - INFO - Generated configuration for cycle 10 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,336 - root - INFO - Generated configuration for cycle 10 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,343 - root - INFO - Generated configuration for cycle 10 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,349 - root - INFO - Generated configuration for cycle 10 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,354 - root - INFO - Generated configuration for cycle 10 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,361 - root - INFO - Generated configuration for cycle 10 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,367 - root - INFO - Generated configuration for cycle 10 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,372 - root - INFO - Generated configuration for cycle 10 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,377 - root - INFO - Generated configuration for cycle 10 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,384 - root - INFO - Generated configuration for cycle 10 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,391 - root - INFO - Generated configuration for cycle 11 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,397 - root - INFO - Generated configuration for cycle 11 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,403 - root - INFO - Generated configuration for cycle 11 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,409 - root - INFO - Generated configuration for cycle 11 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,414 - root - INFO - Generated configuration for cycle 11 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,419 - root - INFO - Generated configuration for cycle 11 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,425 - root - INFO - Generated configuration for cycle 11 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,429 - root - INFO - Generated configuration for cycle 11 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,434 - root - INFO - Generated configuration for cycle 11 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,439 - root - INFO - Generated configuration for cycle 11 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,445 - root - INFO - Generated configuration for cycle 11 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,449 - root - INFO - Generated configuration for cycle 11 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,455 - root - INFO - Generated configuration for cycle 12 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,460 - root - INFO - Generated configuration for cycle 12 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,466 - root - INFO - Generated configuration for cycle 12 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,470 - root - INFO - Generated configuration for cycle 12 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,476 - root - INFO - Generated configuration for cycle 12 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,481 - root - INFO - Generated configuration for cycle 12 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,486 - root - INFO - Generated configuration for cycle 12 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,491 - root - INFO - Generated configuration for cycle 12 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,497 - root - INFO - Generated configuration for cycle 12 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,502 - root - INFO - Generated configuration for cycle 12 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,507 - root - INFO - Generated configuration for cycle 12 with parameters: subset=29, step=3, VSG=6
